assembly_id	File_prefix	biosample	Species	source	host	host_simple	isolation_year	region	Collection	mos_aic_source_specific	mos_aic_source_lab	location	mos_aic_lab_field	mosquito_spp
SKLX065047	GCA_025195585.1	SAMN15461168	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX065467	GCA_025195595.1	SAMN15461169	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX065558	GCA_025195525.1	SAMN15461170	Elizabethkingia anophelis	Bile	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX065563	GCA_025195535.1	SAMN15461171	Elizabethkingia anophelis	Blood	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066053	GCA_025195495.1	SAMN15461172	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066128	GCA_025195465.1	SAMN15461173	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066195	GCA_025195485.1	SAMN15461174	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066253	GCA_025195445.1	SAMN15461175	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066626	GCA_025195385.1	SAMN15461176	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066664	GCA_025195415.1	SAMN15461177	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066925	GCA_025195405.1	SAMN15461178	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX066982	GCA_025195365.1	SAMN15461179	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX067015	GCA_025195345.1	SAMN15461180	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
SKLX067888	GCA_025195305.1	SAMN15461181	Elizabethkingia anophelis	Sputum	Homo sapiens	Homo sapiens	2017	Asia	Hu	NA	NA	NA	NA	NA
